animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
2C6,14.03,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
2T6,5.18,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
8M0,8.12,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
8B3,13.09,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
77V,16.15,9,NAc,old,-0.3589473684210527,0.07408866995073891,False,neutral
82V,16.01,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
2I1,10.27,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
1T9,4.11,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
8B3,13.09,9,NAc,old,-0.3589473684210527,0.07408866995073891,False,neutral
97R,17.93,9,NAc,old,0.49578947368421045,0.032364532019704434,True,neutral
8I6,9.9,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
2C6,14.03,9,NAc,old,-0.5726315789473685,0.07408866995073891,False,young_enriched
56R,14.95,9,NAc,old,-0.3589473684210527,0.07408866995073891,False,neutral
98V,16.03,9,NAc,old,-0.3589473684210527,0.07408866995073891,False,neutral
1T9,4.11,9,NAc,young,0.28210526315789464,0.2935960591133005,False,neutral
1P5,6.21,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
3R7,3.32,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
1G8,7.88,9,NAc,young,0.28210526315789464,0.2935960591133005,False,neutral
7M4,8.15,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
1T9,4.11,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
50P,15.59,9,NAc,old,-0.5726315789473685,0.07408866995073891,False,young_enriched
8I6,9.9,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
1L1,8.17,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
74K,20.81,9,NAc,old,0.49578947368421045,0.032364532019704434,True,neutral
8M0,8.12,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
2T6,5.18,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
56K,19.93,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
43N,17.0,9,NAc,old,0.49578947368421045,0.032364532019704434,True,neutral
98V,16.03,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
0G3,9.1,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
8B3,13.09,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
1T9,4.11,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
8B3,13.09,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
1T9,4.11,9,NAc,young,0.7094736842105263,0.005763546798029557,True,old_enriched
8B3,13.09,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
1L1,8.17,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
1G8,7.88,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
2C6,14.03,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
8I6,9.9,9,NAc,young,-1.0,0.001477832512315271,True,young_enriched
4J6,7.15,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
7F0,11.2,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
2C6,14.03,9,NAc,old,-0.3589473684210527,0.07408866995073891,False,neutral
2T6,5.18,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
31S,17.0,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
0B9,12.11,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
4S3,3.18,9,NAc,young,0.28210526315789464,0.2935960591133005,False,neutral
2C6,14.03,9,NAc,old,-0.5726315789473685,0.07408866995073891,False,young_enriched
97R,17.93,9,NAc,old,-0.3589473684210527,0.07408866995073891,False,neutral
0B9,12.11,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
3K1,9.01,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
0B9,12.11,9,NAc,old,0.49578947368421045,0.032364532019704434,True,neutral
37V,15.07,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
1T9,4.11,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
56K,19.93,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
4S3,3.18,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
1P5,6.21,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
1T9,4.11,9,NAc,young,0.49578947368421045,0.032364532019704434,True,neutral
8M0,8.12,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
91O,15.86,9,NAc,old,-0.5726315789473685,0.07408866995073891,False,young_enriched
1V8,4.31,9,NAc,young,-0.3589473684210527,0.07408866995073891,False,neutral
7M4,8.15,9,NAc,young,0.28210526315789464,0.2935960591133005,False,neutral
1P5,6.21,9,NAc,young,-0.3589473684210527,0.07408866995073891,False,neutral
7M4,8.15,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
2T6,5.18,9,NAc,young,-0.3589473684210527,0.07408866995073891,False,neutral
8I6,9.9,9,NAc,young,-0.7863157894736842,0.015911330049261083,True,young_enriched
41N,16.74,9,NAc,old,-0.5726315789473685,0.07408866995073891,False,young_enriched
2Q0,3.21,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
2V1,4.3,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
98V,16.03,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
3R7,3.32,9,NAc,young,-0.3589473684210527,0.07408866995073891,False,neutral
2C6,14.03,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
2T6,5.18,9,NAc,young,-0.3589473684210527,0.07408866995073891,False,neutral
43N,17.0,9,NAc,old,0.49578947368421045,0.032364532019704434,True,neutral
8I6,9.9,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
7F0,11.2,9,NAc,old,-0.3589473684210527,0.07408866995073891,False,neutral
8B3,13.09,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
2T6,5.18,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
1P5,6.21,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
4S3,3.18,9,NAc,young,-0.3589473684210527,0.07408866995073891,False,neutral
8I6,9.9,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
4J6,7.15,9,NAc,young,0.49578947368421045,0.032364532019704434,True,neutral
2C6,14.03,9,NAc,old,0.49578947368421045,0.032364532019704434,True,neutral
1P5,6.21,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
3K1,9.01,9,NAc,young,0.28210526315789464,0.2935960591133005,False,neutral
1P5,6.21,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
8I6,9.9,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
41N,16.74,9,NAc,old,-0.5726315789473685,0.07408866995073891,False,young_enriched
6O7,6.03,9,NAc,young,0.7094736842105263,0.005763546798029557,True,old_enriched
2C6,14.03,9,NAc,old,0.7094736842105263,0.005763546798029557,True,old_enriched
2C6,14.03,9,NAc,old,-0.7863157894736842,0.015911330049261083,True,young_enriched
56R,14.95,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
98V,16.03,9,NAc,old,0.923157894736842,0.0005911330049261083,True,old_enriched
41N,16.74,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
2C6,14.03,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
2T6,5.18,9,NAc,young,0.49578947368421045,0.032364532019704434,True,neutral
6O7,6.03,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
8M0,8.12,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
8B3,13.09,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
8B3,13.09,9,NAc,old,-0.3589473684210527,0.07408866995073891,False,neutral
8B3,13.09,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
8M0,8.12,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
7M4,8.15,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
2C6,14.03,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
2I1,10.27,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
8I6,9.9,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
4S3,3.18,9,NAc,young,0.49578947368421045,0.032364532019704434,True,neutral
42T,15.96,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
7M4,8.15,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
8I6,9.9,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
8M0,8.12,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
3K1,9.01,9,NAc,young,-0.3589473684210527,0.07408866995073891,False,neutral
2C6,14.03,9,NAc,old,0.7094736842105263,0.005763546798029557,True,old_enriched
4S3,3.18,9,NAc,young,-0.3589473684210527,0.07408866995073891,False,neutral
56K,19.93,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
2Q0,3.21,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
43N,17.0,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
8M0,8.12,9,NAc,young,0.28210526315789464,0.2935960591133005,False,neutral
3R7,3.32,9,NAc,young,0.28210526315789464,0.2935960591133005,False,neutral
3K1,9.01,9,NAc,young,0.28210526315789464,0.2935960591133005,False,neutral
2V1,4.3,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
3R7,3.32,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
1T9,4.11,9,NAc,young,0.06842105263157888,0.2935960591133005,False,neutral
7M4,8.15,9,NAc,young,-0.1452631578947369,0.4601970443349754,False,neutral
91O,15.86,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
74K,20.81,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
56K,19.93,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
2I1,10.27,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
7F0,11.2,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
6O7,6.03,9,NAc,young,0.28210526315789464,0.2935960591133005,False,neutral
41N,16.74,9,NAc,old,-0.3589473684210527,0.07408866995073891,False,neutral
4J6,7.15,9,NAc,young,-0.7863157894736842,0.015911330049261083,True,young_enriched
7F0,11.2,9,NAc,old,0.06842105263157888,0.2935960591133005,False,neutral
31S,17.0,9,NAc,old,-0.1452631578947369,0.4601970443349754,False,neutral
2I1,10.27,9,NAc,old,0.28210526315789464,0.2935960591133005,False,neutral
91O,15.86,9,NAc,old,0.49578947368421045,0.032364532019704434,True,neutral
0G3,9.1,9,NAc,young,-0.5726315789473685,0.07408866995073891,False,young_enriched
