animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
98V,16.03,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
2S6,3.17,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
2T6,5.18,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
37V,15.07,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
1V8,4.31,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
2V1,4.3,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
3E4,11.99,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
4Q6,3.22,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
0G3,9.1,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
6L4,8.2,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
2T6,5.18,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
8C9,12.12,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
6O7,6.03,16,CN,young,-0.7893048128342246,0.0011928934010152284,True,young_enriched
1L1,8.17,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
2F2,11.04,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
42T,15.96,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
43N,17.0,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
43N,17.0,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
3D1,13.11,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
82V,16.01,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
74K,20.81,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
43N,17.0,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
2T6,5.18,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
6O7,6.03,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
1P5,6.21,16,CN,young,-0.7893048128342246,0.0011928934010152284,True,young_enriched
4J6,7.15,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
6L4,8.2,16,CN,young,0.6855614973262032,0.005862944162436548,True,old_enriched
0B9,12.11,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
43N,17.0,16,CN,old,-0.7893048128342246,0.0011928934010152284,True,young_enriched
1P5,6.21,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
1G8,7.88,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
6L4,8.2,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
3E4,11.99,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
41N,16.74,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
0B9,12.11,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
2S2,6.31,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
2S2,6.31,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
2F2,11.04,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
2V1,4.3,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
6O7,6.03,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
1T9,4.11,16,CN,young,0.6855614973262032,0.005862944162436548,True,old_enriched
2F2,11.04,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
6O7,6.03,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
4J6,7.15,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
56K,19.93,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
6O7,6.03,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
31S,17.0,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
42T,15.96,16,CN,old,-0.7893048128342246,0.0011928934010152284,True,young_enriched
3K1,9.01,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
43N,17.0,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
8B3,13.09,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
4J6,7.15,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
8B3,13.09,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
0G3,9.1,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
56K,19.93,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
1L1,8.17,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
2Q0,3.21,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
2F2,11.04,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
55R,14.97,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
1V8,4.31,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
56R,14.95,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
2Q0,3.21,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
3T5,5.12,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
2I1,10.27,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
6L4,8.2,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
1L1,8.17,16,CN,young,0.47486631016042785,0.03454314720812183,True,neutral
1L1,8.17,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
2F2,11.04,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
6O7,6.03,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
41N,16.74,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
41N,16.74,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
5H6,11.03,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
6L4,8.2,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
2V1,4.3,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
3T5,5.12,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
2T6,5.18,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
1T9,4.11,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
77V,16.15,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
1V8,4.31,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
2C6,14.03,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
3E4,11.99,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
8I6,9.9,16,CN,young,0.47486631016042785,0.03454314720812183,True,neutral
8B3,13.09,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
41N,16.74,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
6L4,8.2,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
3T5,5.12,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
46Z,13.97,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
1T9,4.11,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
2S2,6.31,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
1P5,6.21,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
0B9,12.11,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
56R,14.95,16,CN,old,-0.5786096256684492,0.06718274111675127,False,young_enriched
4Q6,3.22,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
41N,16.74,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
5R4,6.25,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
56K,19.93,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
1T9,4.11,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
8I6,9.9,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
98V,16.03,16,CN,old,0.8962566844919786,0.005862944162436548,True,old_enriched
2I1,10.27,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
0B9,12.11,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
56R,14.95,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
1P5,6.21,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
8B3,13.09,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
6O7,6.03,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
2F2,11.04,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
6O7,6.03,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
1P5,6.21,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
50P,15.59,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
8B3,13.09,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
46Z,13.97,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
2I1,10.27,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
6L4,8.2,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
5H6,11.03,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
2V1,4.3,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
2C6,14.03,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
1P5,6.21,16,CN,young,0.47486631016042785,0.03454314720812183,True,neutral
1P5,6.21,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
6O7,6.03,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
56K,19.93,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
1T9,4.11,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
2V1,4.3,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
37V,15.07,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
5R4,6.25,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
2F2,11.04,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
1L1,8.17,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
98V,16.03,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
0G3,9.1,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
46Z,13.97,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
82V,16.01,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
1G8,7.88,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
8I6,9.9,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
2S2,6.31,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
8H2,10.13,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
50P,15.59,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
1P5,6.21,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
0G3,9.1,16,CN,young,0.47486631016042785,0.03454314720812183,True,neutral
46Z,13.97,16,CN,old,-0.5786096256684492,0.06718274111675127,False,young_enriched
2S6,3.17,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
8C9,12.12,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
41N,16.74,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
5R4,6.25,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
55R,14.97,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
31S,17.0,16,CN,old,-0.5786096256684492,0.06718274111675127,False,young_enriched
1L1,8.17,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
8C9,12.12,16,CN,old,-0.5786096256684492,0.06718274111675127,False,young_enriched
2T2,4.09,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
8B3,13.09,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
2V1,4.3,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
42T,15.96,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
6O7,6.03,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
1V8,4.31,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
8M0,8.12,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
46Z,13.97,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
82V,16.01,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
43N,17.0,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
4J6,7.15,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
43N,17.0,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
2Q0,3.21,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
31S,17.0,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
1G8,7.88,16,CN,young,0.8962566844919786,0.005862944162436548,True,old_enriched
1P5,6.21,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
43N,17.0,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
3E4,11.99,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
0B9,12.11,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
2S6,3.17,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
3E4,11.99,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
2Q0,3.21,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
1T9,4.11,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
3E4,11.99,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
2C6,14.03,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
4S3,3.18,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
2C6,14.03,16,CN,old,-0.7893048128342246,0.0011928934010152284,True,young_enriched
2S2,6.31,16,CN,young,-0.7893048128342246,0.0011928934010152284,True,young_enriched
50P,15.59,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
4S3,3.18,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
2S2,6.31,16,CN,young,0.47486631016042785,0.03454314720812183,True,neutral
0G3,9.1,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
0G3,9.1,16,CN,young,0.6855614973262032,0.005862944162436548,True,old_enriched
2Q0,3.21,16,CN,young,0.47486631016042785,0.03454314720812183,True,neutral
82V,16.01,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
2S6,3.17,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
56R,14.95,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
6L4,8.2,16,CN,young,0.6855614973262032,0.005862944162436548,True,old_enriched
43N,17.0,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
2S6,3.17,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
4J6,7.15,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
2Q0,3.21,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
42T,15.96,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
3D1,13.11,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
1T9,4.11,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
3D1,13.11,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
6L4,8.2,16,CN,young,0.47486631016042785,0.03454314720812183,True,neutral
1V8,4.31,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
2C6,14.03,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
5R4,6.25,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
31S,17.0,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
8I6,9.9,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
3T5,5.12,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
6O7,6.03,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
82V,16.01,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
8B3,13.09,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
1V8,4.31,16,CN,young,0.47486631016042785,0.03454314720812183,True,neutral
3D1,13.11,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
74K,20.81,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
43N,17.0,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
91O,15.86,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
46Z,13.97,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
4Q6,3.22,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
8C9,12.12,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
8M0,8.12,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
41N,16.74,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
3K1,9.01,16,CN,young,-0.7893048128342246,0.0011928934010152284,True,young_enriched
5H6,11.03,16,CN,old,-0.5786096256684492,0.06718274111675127,False,young_enriched
6L4,8.2,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
43N,17.0,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
46Z,13.97,16,CN,old,-0.7893048128342246,0.0011928934010152284,True,young_enriched
4J6,7.15,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
8M0,8.12,16,CN,young,0.6855614973262032,0.005862944162436548,True,old_enriched
2Q0,3.21,16,CN,young,0.6855614973262032,0.005862944162436548,True,old_enriched
74K,20.81,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
43N,17.0,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
2C6,14.03,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
6D9,13.11,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
5H6,11.03,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
2Q0,3.21,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
3K1,9.01,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
1G8,7.88,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
97R,17.93,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
46Z,13.97,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
8M0,8.12,16,CN,young,0.47486631016042785,0.03454314720812183,True,neutral
77V,16.15,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
8B3,13.09,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
1L1,8.17,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
6O7,6.03,16,CN,young,0.6855614973262032,0.005862944162436548,True,old_enriched
37V,15.07,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
2T6,5.18,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
43N,17.0,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
0G3,9.1,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
4J6,7.15,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
6L4,8.2,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
82V,16.01,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
2T6,5.18,16,CN,young,0.6855614973262032,0.005862944162436548,True,old_enriched
74K,20.81,16,CN,old,0.6855614973262032,0.005862944162436548,True,old_enriched
43N,17.0,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
4J6,7.15,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
43N,17.0,16,CN,old,0.053475935828877025,0.3141116751269036,False,neutral
8I6,9.9,16,CN,young,-0.3679144385026738,0.06718274111675127,False,neutral
74K,20.81,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
1L1,8.17,16,CN,young,0.26417112299465245,0.3141116751269036,False,neutral
0G3,9.1,16,CN,young,0.6855614973262032,0.005862944162436548,True,old_enriched
4S3,3.18,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
0B9,12.11,16,CN,old,0.26417112299465245,0.3141116751269036,False,neutral
6D9,13.11,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
2C6,14.03,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
4J6,7.15,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
43N,17.0,16,CN,old,-0.5786096256684492,0.06718274111675127,False,young_enriched
1P5,6.21,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
6O7,6.03,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
43N,17.0,16,CN,old,0.47486631016042785,0.03454314720812183,True,neutral
2Q0,3.21,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
4J6,7.15,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
43N,17.0,16,CN,old,-0.3679144385026738,0.06718274111675127,False,neutral
6L4,8.2,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
8C9,12.12,16,CN,old,-0.15721925133689837,0.20852791878172589,False,neutral
2Q0,3.21,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
2S6,3.17,16,CN,young,-0.15721925133689837,0.20852791878172589,False,neutral
4S3,3.18,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
1L1,8.17,16,CN,young,0.053475935828877025,0.3141116751269036,False,neutral
6O7,6.03,16,CN,young,-0.5786096256684492,0.06718274111675127,False,young_enriched
