animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
3E4,11.99,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
46Z,13.97,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
8I6,9.9,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
1P5,6.21,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
2T2,4.09,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
46Z,13.97,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
2Q0,3.21,3,HIP,young,-0.35877862595419846,0.03361904761904762,True,neutral
1L1,8.17,3,HIP,young,-0.1984732824427481,0.29528571428571426,False,neutral
46Z,13.97,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
2I1,10.27,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
0B9,12.11,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
1L1,8.17,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
8B3,13.09,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
3E4,11.99,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
31S,17.0,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
6D9,13.11,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
46Z,13.97,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
56R,14.95,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
5R4,6.25,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
41N,16.74,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
8C9,12.12,3,HIP,old,-0.35877862595419846,0.03361904761904762,True,neutral
31S,17.0,3,HIP,old,-0.6793893129770993,0.0007619047619047619,True,young_enriched
4S3,3.18,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
41N,16.74,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
1G8,7.88,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
2C6,14.03,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
56R,14.95,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
46Z,13.97,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
56K,19.93,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
2S6,3.17,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
4J6,7.15,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
2V1,4.3,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
43N,17.0,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
8M0,8.12,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
46Z,13.97,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
4Q6,3.22,3,HIP,young,-0.1984732824427481,0.29528571428571426,False,neutral
2C6,14.03,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
43N,17.0,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
2C6,14.03,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
1P5,6.21,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
3D1,13.11,3,HIP,old,-0.35877862595419846,0.03361904761904762,True,neutral
2C6,14.03,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
46Z,13.97,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
2C6,14.03,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
0G3,9.1,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
2Q0,3.21,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
2S6,3.17,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
0B9,12.11,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
1P5,6.21,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
4J6,7.15,3,HIP,young,-0.1984732824427481,0.29528571428571426,False,neutral
3E4,11.99,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
2I1,10.27,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
3D1,13.11,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
4Q6,3.22,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
46Z,13.97,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
2Q0,3.21,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
0B9,12.11,3,HIP,old,-0.6793893129770993,0.0007619047619047619,True,young_enriched
2C6,14.03,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
98V,16.03,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
82V,16.01,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
1G8,7.88,3,HIP,young,-0.1984732824427481,0.29528571428571426,False,neutral
3R7,3.32,3,HIP,young,-0.1984732824427481,0.29528571428571426,False,neutral
2S6,3.17,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
2Q0,3.21,3,HIP,young,-0.1984732824427481,0.29528571428571426,False,neutral
0B9,12.11,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
4S3,3.18,3,HIP,young,-0.35877862595419846,0.03361904761904762,True,neutral
3D1,13.11,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
41N,16.74,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
8B3,13.09,3,HIP,old,-0.5190839694656488,0.03361904761904762,True,young_enriched
3D1,13.11,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
5H6,11.03,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
2I1,10.27,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
41N,16.74,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
1L1,8.17,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
1L1,8.17,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
0G3,9.1,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
3D1,13.11,3,HIP,old,-0.35877862595419846,0.03361904761904762,True,neutral
5R4,6.25,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
41N,16.74,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
77V,16.15,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
2S6,3.17,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
3D1,13.11,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
0B9,12.11,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
3D1,13.11,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
43N,17.0,3,HIP,old,-0.5190839694656488,0.03361904761904762,True,young_enriched
1L1,8.17,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
8I6,9.9,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
74K,20.81,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
5R4,6.25,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
46Z,13.97,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
4Q6,3.22,3,HIP,young,0.44274809160305345,0.05380952380952381,False,neutral
3D1,13.11,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
4J6,7.15,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
2S6,3.17,3,HIP,young,-0.1984732824427481,0.29528571428571426,False,neutral
1P5,6.21,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
2S6,3.17,3,HIP,young,-0.35877862595419846,0.03361904761904762,True,neutral
6D9,13.11,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
3R7,3.32,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
46Z,13.97,3,HIP,old,-0.1984732824427481,0.29528571428571426,False,neutral
4J6,7.15,3,HIP,young,-0.1984732824427481,0.29528571428571426,False,neutral
1T9,4.11,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
43N,17.0,3,HIP,old,-0.35877862595419846,0.03361904761904762,True,neutral
74K,20.81,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
41N,16.74,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
37V,15.07,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
2I1,10.27,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
42T,15.96,3,HIP,old,-0.35877862595419846,0.03361904761904762,True,neutral
41N,16.74,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
3E4,11.99,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
41N,16.74,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
1G8,7.88,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
2Q0,3.21,3,HIP,young,-0.1984732824427481,0.29528571428571426,False,neutral
46Z,13.97,3,HIP,old,-0.5190839694656488,0.03361904761904762,True,young_enriched
2F2,11.04,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
2I1,10.27,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
2I1,10.27,3,HIP,old,0.6030534351145038,0.0057619047619047615,True,old_enriched
46Z,13.97,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
46Z,13.97,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
46Z,13.97,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
2I1,10.27,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
6L4,8.2,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
2I1,10.27,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
1P5,6.21,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
0B9,12.11,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
97R,17.93,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
77V,16.15,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
2S6,3.17,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
91O,15.86,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
77V,16.15,3,HIP,old,-0.03816793893129772,0.29528571428571426,False,neutral
77V,16.15,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
0B9,12.11,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
2S6,3.17,3,HIP,young,-0.03816793893129772,0.29528571428571426,False,neutral
2I1,10.27,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
2I1,10.27,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
3D1,13.11,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
2I1,10.27,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
97R,17.93,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
46Z,13.97,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
2I1,10.27,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
3D1,13.11,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
3T5,5.12,3,HIP,young,0.44274809160305345,0.05380952380952381,False,neutral
7F0,11.2,3,HIP,old,0.6030534351145038,0.0057619047619047615,True,old_enriched
3D1,13.11,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
2I1,10.27,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
0B9,12.11,3,HIP,old,0.282442748091603,0.19876190476190475,False,neutral
2S6,3.17,3,HIP,young,0.282442748091603,0.19876190476190475,False,neutral
8B3,13.09,3,HIP,old,0.12213740458015267,0.4418095238095238,False,neutral
0B9,12.11,3,HIP,old,0.44274809160305345,0.05380952380952381,False,neutral
8M0,8.12,3,HIP,young,0.12213740458015267,0.4418095238095238,False,neutral
