animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
5H6,11.03,11,NAc,old,-0.4893203883495146,0.06604562737642586,False,neutral
2I1,10.27,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
3E4,11.99,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
8I6,9.9,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
37V,15.07,11,NAc,old,-0.3190938511326861,0.1959315589353612,False,neutral
31S,17.0,11,NAc,old,-0.3190938511326861,0.1959315589353612,False,neutral
98V,16.03,11,NAc,old,0.5320388349514563,0.0038783269961977186,True,old_enriched
4S3,3.18,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
41N,16.74,11,NAc,old,-0.4893203883495146,0.06604562737642586,False,neutral
1T9,4.11,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
2C6,14.03,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
7F0,11.2,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
1T9,4.11,11,NAc,young,0.3618122977346278,0.035722433460076045,True,neutral
6O7,6.03,11,NAc,young,-0.3190938511326861,0.1959315589353612,False,neutral
74K,20.81,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
8I6,9.9,11,NAc,young,-0.4893203883495146,0.06604562737642586,False,neutral
2S6,3.17,11,NAc,young,-0.4893203883495146,0.06604562737642586,False,neutral
3T5,5.12,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
8I6,9.9,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
7F0,11.2,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
2C6,14.03,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
4S3,3.18,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
41N,16.74,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
8B3,13.09,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
56K,19.93,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
2I1,10.27,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
2C6,14.03,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
3E4,11.99,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
82V,16.01,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
37V,15.07,11,NAc,old,-0.4893203883495146,0.06604562737642586,False,neutral
0G3,9.1,11,NAc,young,-0.3190938511326861,0.1959315589353612,False,neutral
7F0,11.2,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
8M0,8.12,11,NAc,young,0.3618122977346278,0.035722433460076045,True,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
8I6,9.9,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
8B3,13.09,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
7F0,11.2,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
0B9,12.11,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
82V,16.01,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
1T9,4.11,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
82V,16.01,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
91O,15.86,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
82V,16.01,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
6O7,6.03,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
98V,16.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
4S3,3.18,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
2V1,4.3,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
2T6,5.18,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
0B9,12.11,11,NAc,old,-0.3190938511326861,0.1959315589353612,False,neutral
7M4,8.15,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
31S,17.0,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
77V,16.15,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
1L1,8.17,11,NAc,young,0.3618122977346278,0.035722433460076045,True,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
0G3,9.1,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
43N,17.0,11,NAc,old,0.5320388349514563,0.0038783269961977186,True,old_enriched
6O7,6.03,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
82V,16.01,11,NAc,old,-0.4893203883495146,0.06604562737642586,False,neutral
4J6,7.15,11,NAc,young,-0.4893203883495146,0.06604562737642586,False,neutral
3T5,5.12,11,NAc,young,-0.3190938511326861,0.1959315589353612,False,neutral
7M4,8.15,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
56K,19.93,11,NAc,old,-0.3190938511326861,0.1959315589353612,False,neutral
97R,17.93,11,NAc,old,-0.3190938511326861,0.1959315589353612,False,neutral
8M0,8.12,11,NAc,young,-0.6595469255663431,0.0020342205323193915,True,young_enriched
7M4,8.15,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
8B3,13.09,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
43N,17.0,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
3E4,11.99,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
8B3,13.09,11,NAc,old,0.5320388349514563,0.0038783269961977186,True,old_enriched
8B3,13.09,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
0B9,12.11,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
8M0,8.12,11,NAc,young,0.3618122977346278,0.035722433460076045,True,neutral
2C6,14.03,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
5R4,6.25,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
2T6,5.18,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
91O,15.86,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
2C6,14.03,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
3R7,3.32,11,NAc,young,-0.3190938511326861,0.1959315589353612,False,neutral
2C6,14.03,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
2C6,14.03,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
43N,17.0,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
2C6,14.03,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
3E4,11.99,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
8M0,8.12,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
50P,15.59,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
3T5,5.12,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
3T5,5.12,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
6O7,6.03,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
0B9,12.11,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
4S3,3.18,11,NAc,young,0.3618122977346278,0.035722433460076045,True,neutral
3K1,9.01,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
82V,16.01,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
8M0,8.12,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
6O7,6.03,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
2T6,5.18,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
1L1,8.17,11,NAc,young,0.3618122977346278,0.035722433460076045,True,neutral
56K,19.93,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
0B9,12.11,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
3E4,11.99,11,NAc,old,0.5320388349514563,0.0038783269961977186,True,old_enriched
8M0,8.12,11,NAc,young,-0.3190938511326861,0.1959315589353612,False,neutral
2V1,4.3,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
0G3,9.1,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
3D1,13.11,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
4J6,7.15,11,NAc,young,-0.3190938511326861,0.1959315589353612,False,neutral
3E4,11.99,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
56R,14.95,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
3T5,5.12,11,NAc,young,-0.3190938511326861,0.1959315589353612,False,neutral
82V,16.01,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
2C6,14.03,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
3K1,9.01,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
1V8,4.31,11,NAc,young,-0.3190938511326861,0.1959315589353612,False,neutral
74K,20.81,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
2V1,4.3,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
2T2,4.09,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
31S,17.0,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
56K,19.93,11,NAc,old,-0.3190938511326861,0.1959315589353612,False,neutral
6O7,6.03,11,NAc,young,0.3618122977346278,0.035722433460076045,True,neutral
2C6,14.03,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
8B3,13.09,11,NAc,old,0.5320388349514563,0.0038783269961977186,True,old_enriched
2S6,3.17,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
0G3,9.1,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
46Z,13.97,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
8C9,12.12,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
7F0,11.2,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
3E4,11.99,11,NAc,old,-0.3190938511326861,0.1959315589353612,False,neutral
2T6,5.18,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
2C6,14.03,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
56K,19.93,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
50P,15.59,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
77V,16.15,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
50P,15.59,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
8B3,13.09,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
2C6,14.03,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
1P5,6.21,11,NAc,young,-0.6595469255663431,0.0020342205323193915,True,young_enriched
8I6,9.9,11,NAc,young,0.5320388349514563,0.0038783269961977186,True,old_enriched
31S,17.0,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
8C9,12.12,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
3E4,11.99,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
8B3,13.09,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
8B3,13.09,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
77V,16.15,11,NAc,old,-0.3190938511326861,0.1959315589353612,False,neutral
7F0,11.2,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
7M4,8.15,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
98V,16.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
1T9,4.11,11,NAc,young,0.5320388349514563,0.0038783269961977186,True,old_enriched
6L4,8.2,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
56K,19.93,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
0B9,12.11,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
4J6,7.15,11,NAc,young,-0.4893203883495146,0.06604562737642586,False,neutral
4S3,3.18,11,NAc,young,-0.8297734627831715,0.0020342205323193915,True,young_enriched
2C6,14.03,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
4J6,7.15,11,NAc,young,-0.3190938511326861,0.1959315589353612,False,neutral
55R,14.97,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
8B3,13.09,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
1T9,4.11,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
2C6,14.03,11,NAc,old,0.3618122977346278,0.035722433460076045,True,neutral
7M4,8.15,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
7M4,8.15,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
8M0,8.12,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
2T6,5.18,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
3K1,9.01,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
2C6,14.03,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
37V,15.07,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
2C6,14.03,11,NAc,old,-0.3190938511326861,0.1959315589353612,False,neutral
2S6,3.17,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
4Q6,3.22,11,NAc,young,0.02135922330097085,0.5891444866920152,False,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
4J6,7.15,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
5R4,6.25,11,NAc,young,0.3618122977346278,0.035722433460076045,True,neutral
7M4,8.15,11,NAc,young,0.3618122977346278,0.035722433460076045,True,neutral
41N,16.74,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
2C6,14.03,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
2C6,14.03,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
2C6,14.03,11,NAc,old,-0.1488673139158576,0.1959315589353612,False,neutral
1P5,6.21,11,NAc,young,-0.8297734627831715,0.0020342205323193915,True,young_enriched
8B3,13.09,11,NAc,old,0.19158576051779933,0.3397528517110266,False,neutral
41N,16.74,11,NAc,old,0.02135922330097085,0.5891444866920152,False,neutral
3K1,9.01,11,NAc,young,-0.1488673139158576,0.1959315589353612,False,neutral
2T6,5.18,11,NAc,young,0.19158576051779933,0.3397528517110266,False,neutral
