animal_id,age,louvain,region
3K1,9.01,5,mdTN
56R,14.95,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
8H2,10.13,5,mdTN
8H2,10.13,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
97R,17.93,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
42T,15.96,5,mdTN
42T,15.96,5,mdTN
91O,15.86,5,mdTN
2T2,4.09,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
2V1,4.3,5,mdTN
2V1,4.3,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
82V,16.01,5,mdTN
43N,17.0,5,mdTN
0B9,12.11,5,mdTN
1T9,4.11,5,mdTN
2C6,14.03,5,mdTN
8I6,9.9,5,mdTN
1G8,7.88,5,mdTN
3R7,3.32,5,mdTN
2S2,6.31,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
8H2,10.13,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
97R,17.93,5,mdTN
42T,15.96,5,mdTN
42T,15.96,5,mdTN
42T,15.96,5,mdTN
2T6,5.18,5,mdTN
2T6,5.18,5,mdTN
91O,15.86,5,mdTN
4Q6,3.22,5,mdTN
2T2,4.09,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
2I1,10.27,5,mdTN
2V1,4.3,5,mdTN
2V1,4.3,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
82V,16.01,5,mdTN
82V,16.01,5,mdTN
82V,16.01,5,mdTN
82V,16.01,5,mdTN
82V,16.01,5,mdTN
56K,19.93,5,mdTN
0B9,12.11,5,mdTN
1T9,4.11,5,mdTN
6O7,6.03,5,mdTN
6O7,6.03,5,mdTN
3E4,11.99,5,mdTN
8I6,9.9,5,mdTN
8I6,9.9,5,mdTN
6D9,13.11,5,mdTN
3R7,3.32,5,mdTN
37V,15.07,5,mdTN
37V,15.07,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
56R,14.95,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
4Q6,3.22,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
2I1,10.27,5,mdTN
2V1,4.3,5,mdTN
7F0,11.2,5,mdTN
7F0,11.2,5,mdTN
7F0,11.2,5,mdTN
7F0,11.2,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
56K,19.93,5,mdTN
43N,17.0,5,mdTN
1T9,4.11,5,mdTN
1T9,4.11,5,mdTN
1T9,4.11,5,mdTN
91O,15.86,5,mdTN
6D9,13.11,5,mdTN
6D9,13.11,5,mdTN
2S2,6.31,5,mdTN
2S2,6.31,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
50P,15.59,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
97R,17.93,5,mdTN
97R,17.93,5,mdTN
97R,17.93,5,mdTN
97R,17.93,5,mdTN
8B3,13.09,5,mdTN
42T,15.96,5,mdTN
31S,17.0,5,mdTN
4Q6,3.22,5,mdTN
4Q6,3.22,5,mdTN
5R4,6.25,5,mdTN
6L4,8.2,5,mdTN
2I1,10.27,5,mdTN
7F0,11.2,5,mdTN
7F0,11.2,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
82V,16.01,5,mdTN
43N,17.0,5,mdTN
37V,15.07,5,mdTN
37V,15.07,5,mdTN
8M0,8.12,5,mdTN
2S2,6.31,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
56R,14.95,5,mdTN
56R,14.95,5,mdTN
56R,14.95,5,mdTN
56R,14.95,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
97R,17.93,5,mdTN
97R,17.93,5,mdTN
97R,17.93,5,mdTN
97R,17.93,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
42T,15.96,5,mdTN
42T,15.96,5,mdTN
31S,17.0,5,mdTN
91O,15.86,5,mdTN
91O,15.86,5,mdTN
46Z,13.97,5,mdTN
46Z,13.97,5,mdTN
2T2,4.09,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2V1,4.3,5,mdTN
2V1,4.3,5,mdTN
2V1,4.3,5,mdTN
7F0,11.2,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
82V,16.01,5,mdTN
82V,16.01,5,mdTN
82V,16.01,5,mdTN
56K,19.93,5,mdTN
0B9,12.11,5,mdTN
0B9,12.11,5,mdTN
0B9,12.11,5,mdTN
8I6,9.9,5,mdTN
8I6,9.9,5,mdTN
8I6,9.9,5,mdTN
2S6,3.17,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
6D9,13.11,5,mdTN
6D9,13.11,5,mdTN
6D9,13.11,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
8H2,10.13,5,mdTN
8H2,10.13,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
50P,15.59,5,mdTN
97R,17.93,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
42T,15.96,5,mdTN
2T6,5.18,5,mdTN
2T6,5.18,5,mdTN
91O,15.86,5,mdTN
91O,15.86,5,mdTN
4J6,7.15,5,mdTN
6L4,8.2,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
2I1,10.27,5,mdTN
2V1,4.3,5,mdTN
2V1,4.3,5,mdTN
7F0,11.2,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
82V,16.01,5,mdTN
82V,16.01,5,mdTN
1T9,4.11,5,mdTN
6O7,6.03,5,mdTN
1P5,6.21,5,mdTN
6D9,13.11,5,mdTN
6D9,13.11,5,mdTN
6D9,13.11,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
8H2,10.13,5,mdTN
8H2,10.13,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
97R,17.93,5,mdTN
8B3,13.09,5,mdTN
2T6,5.18,5,mdTN
2T6,5.18,5,mdTN
2T6,5.18,5,mdTN
2T6,5.18,5,mdTN
31S,17.0,5,mdTN
31S,17.0,5,mdTN
3R7,3.32,5,mdTN
5R4,6.25,5,mdTN
4J6,7.15,5,mdTN
6L4,8.2,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
2I1,10.27,5,mdTN
2V1,4.3,5,mdTN
2V1,4.3,5,mdTN
7F0,11.2,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
43N,17.0,5,mdTN
2C6,14.03,5,mdTN
3E4,11.99,5,mdTN
1P5,6.21,5,mdTN
6D9,13.11,5,mdTN
37V,15.07,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
56R,14.95,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
97R,17.93,5,mdTN
8B3,13.09,5,mdTN
42T,15.96,5,mdTN
42T,15.96,5,mdTN
31S,17.0,5,mdTN
31S,17.0,5,mdTN
31S,17.0,5,mdTN
31S,17.0,5,mdTN
91O,15.86,5,mdTN
5R4,6.25,5,mdTN
6L4,8.2,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
82V,16.01,5,mdTN
82V,16.01,5,mdTN
2C6,14.03,5,mdTN
2Q0,3.21,5,mdTN
4S3,3.18,5,mdTN
91O,15.86,5,mdTN
6D9,13.11,5,mdTN
37V,15.07,5,mdTN
37V,15.07,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
8H2,10.13,5,mdTN
8H2,10.13,5,mdTN
8H2,10.13,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
31S,17.0,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
7F0,11.2,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
82V,16.01,5,mdTN
82V,16.01,5,mdTN
2Q0,3.21,5,mdTN
4S3,3.18,5,mdTN
37V,15.07,5,mdTN
3K1,9.01,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
8H2,10.13,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
8B3,13.09,5,mdTN
42T,15.96,5,mdTN
4Q6,3.22,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
2V1,4.3,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
1G8,7.88,5,mdTN
3K1,9.01,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
7M4,8.15,5,mdTN
97R,17.93,5,mdTN
8B3,13.09,5,mdTN
42T,15.96,5,mdTN
42T,15.96,5,mdTN
31S,17.0,5,mdTN
31S,17.0,5,mdTN
31S,17.0,5,mdTN
31S,17.0,5,mdTN
31S,17.0,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
2V1,4.3,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
1T9,4.11,5,mdTN
91O,15.86,5,mdTN
6D9,13.11,5,mdTN
8M0,8.12,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
2T6,5.18,5,mdTN
31S,17.0,5,mdTN
2T2,4.09,5,mdTN
4J6,7.15,5,mdTN
41N,16.74,5,mdTN
2V1,4.3,5,mdTN
2V1,4.3,5,mdTN
7F0,11.2,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
56K,19.93,5,mdTN
0B9,12.11,5,mdTN
1T9,4.11,5,mdTN
2C6,14.03,5,mdTN
82V,16.01,5,mdTN
6D9,13.11,5,mdTN
37V,15.07,5,mdTN
2S2,6.31,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
2F2,11.04,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
97R,17.93,5,mdTN
8B3,13.09,5,mdTN
42T,15.96,5,mdTN
31S,17.0,5,mdTN
46Z,13.97,5,mdTN
41N,16.74,5,mdTN
2V1,4.3,5,mdTN
77V,16.15,5,mdTN
7F0,11.2,5,mdTN
7F0,11.2,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
1T9,4.11,5,mdTN
82V,16.01,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
6D9,13.11,5,mdTN
2S2,6.31,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
56R,14.95,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
2T6,5.18,5,mdTN
2T6,5.18,5,mdTN
5R4,6.25,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
2I1,10.27,5,mdTN
2I1,10.27,5,mdTN
2V1,4.3,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
2C6,14.03,5,mdTN
91O,15.86,5,mdTN
1G8,7.88,5,mdTN
6D9,13.11,5,mdTN
6D9,13.11,5,mdTN
37V,15.07,5,mdTN
37V,15.07,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
56R,14.95,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3D1,13.11,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
3T5,5.12,5,mdTN
1G8,7.88,5,mdTN
1G8,7.88,5,mdTN
5R4,6.25,5,mdTN
2T2,4.09,5,mdTN
2T2,4.09,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
98V,16.03,5,mdTN
2F2,11.04,5,mdTN
50P,15.59,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
7M4,8.15,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
8B3,13.09,5,mdTN
42T,15.96,5,mdTN
2T6,5.18,5,mdTN
91O,15.86,5,mdTN
5R4,6.25,5,mdTN
6L4,8.2,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
41N,16.74,5,mdTN
2I1,10.27,5,mdTN
2I1,10.27,5,mdTN
2V1,4.3,5,mdTN
7F0,11.2,5,mdTN
7F0,11.2,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
74K,20.81,5,mdTN
56K,19.93,5,mdTN
56K,19.93,5,mdTN
1T9,4.11,5,mdTN
3E4,11.99,5,mdTN
3T5,5.12,5,mdTN
6D9,13.11,5,mdTN
6D9,13.11,5,mdTN
2S2,6.31,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
3K1,9.01,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
55R,14.97,5,mdTN
3D1,13.11,5,mdTN
